ACCESSION_NUMBER	MONTHLY_TOTAL_RETURN_ID	CLASS_ID	MONTHLY_TOTAL_RETURN1	MONTHLY_TOTAL_RETURN2	MONTHLY_TOTAL_RETURN3
0001193125-25-293282	911388	C000179985	1.821696	1.02764	3.68157799
0001193125-25-293324	911746	C000026253	-.309764	3.19798999	.74504
0001193125-25-293324	911760	C000189499	-.29942499	3.222772	.768894
0000794105-25-000137	913887	C000105308	-.22698	1.5072	.71865842
0000036405-25-000236	913917	C000007793	2.02323	1.53531	1.60457885
0001193125-25-251567	904898	C000025073	6.89685	1.969856	1.738665
0001193125-25-251567	904900	C000025076	6.88274299	1.945844	1.722044
0001193125-25-251567	904901	C000025077	6.906818	1.988616	1.75624599
0001193125-25-251567	904891	C000025065	6.840448	1.90832	1.663937
0000923202-25-000082	913937	C000012141	-1.68937	4.65632	2.87540558
0000923202-25-000082	913938	C000051262	-1.70146	4.63954	2.87905273
0000036405-25-000242	913964	C000007795	1.83979	4.58985	.94968153
0000036405-25-000242	913967	C000007798	1.8517	4.60099	.9563248
0000794105-25-000140	913959	C000007061	-.05958	1.11244	.22449759
0001193125-25-293319	911616	C000026331	-1.44739	3.7664	3.74818999
0001193125-25-293319	911621	C000026337	-1.423375	3.794058	3.772872
0001004726-25-002038	914059	C000012075	.56	3.18	1.48
0000794105-25-000138	914013	C000007062	-.29814	1.15629	1.03703588
0001193125-25-293283	911484	C000164820	2.05289599	1.93243999	2.32576799
0000035402-25-002155	915334	C000179008	.6	2.07	2.9
0000940400-25-010642	915600	C000012043	.92	7.05	.99
0000940400-25-010634	915589	C000037618	-.22	1.5	1.08
0000035402-25-002272	915693	C000021006	3.02	.84	2.79
